player_id,player_name,season,PA,SO,K%,BB%,Whiff%,Swing%,xwOBA,xBA,xSLG,Hard-Hit%,Barrel%,average_swing_speed,fast_swing_rate,swords,squared_up_contact,pitch_type,pitch_name,pitch_usage,Pitches,PutAway%,BA,SLG,wOBA,run_value_per_100,source,source_timestamp,schema_version,refresh_status
671096,"Abbott, Andrew",2026,318,45,14.2,10.8,12.0,46.4,0.401,0.295,0.499,48.2,7.8,79.373030561,,,,FF,4-Seam Fastball,44.8,1116,13.2,0.257,0.433,0.38,-0.4,BASEBALL_SAVANT_PITCH_ARSENAL_CURRENT_SEASON,2026-08-28T17:22:48+00:00,SAVANT_ARSENAL_SCHEMA_V1,CURRENT
671096,"Abbott, Andrew",2026,121,40,33.1,10.8,28.0,46.4,0.232,0.184,0.329,35.1,7.8,79.373030561,,,,ST,Sweeper,20.0,498,17.9,0.207,0.353,0.252,0.2,BASEBALL_SAVANT_PITCH_ARSENAL_CURRENT_SEASON,2026-08-28T17:22:48+00:00,SAVANT_ARSENAL_SCHEMA_V1,CURRENT
671096,"Abbott, Andrew",2026,119,20,16.8,10.8,38.1,46.4,0.279,0.248,0.34,22.8,7.8,79.373030561,,,,CH,Changeup,19.2,479,16.7,0.248,0.33,0.277,0.4,BASEBALL_SAVANT_PITCH_ARSENAL_CURRENT_SEASON,2026-08-28T17:22:48+00:00,SAVANT_ARSENAL_SCHEMA_V1,CURRENT
671096,"Abbott, Andrew",2026,59,7,11.9,10.8,24.3,46.4,0.29,0.255,0.376,28.6,7.8,79.373030561,,,,CU,Curveball,13.2,330,17.9,0.255,0.382,0.276,-0.3,BASEBALL_SAVANT_PITCH_ARSENAL_CURRENT_SEASON,2026-08-28T17:22:48+00:00,SAVANT_ARSENAL_SCHEMA_V1,CURRENT
671096,"Abbott, Andrew",2026,11,1,9.1,10.8,34.1,46.4,0.423,0.344,0.577,22.2,7.8,79.373030561,,,,FC,Cutter,2.7,68,25.0,0.4,0.7,0.491,-0.4,BASEBALL_SAVANT_PITCH_ARSENAL_CURRENT_SEASON,2026-08-28T17:22:48+00:00,SAVANT_ARSENAL_SCHEMA_V1,CURRENT
690953,"Abel, Mick",2026,29,7,24.1,10.8,33.8,49.6,0.478,0.337,0.652,50.0,5.3,75.9787175,,,,FF,4-Seam Fastball,42.9,153,15.9,0.391,0.522,0.46,-0.3,BASEBALL_SAVANT_PITCH_ARSENAL_CURRENT_SEASON,2026-08-28T17:22:48+00:00,SAVANT_ARSENAL_SCHEMA_V1,CURRENT
690953,"Abel, Mick",2026,24,7,29.2,10.8,31.3,49.6,0.262,0.222,0.291,60.0,5.3,75.9787175,,,,CH,Changeup,17.6,63,35.0,0.182,0.273,0.238,1.8,BASEBALL_SAVANT_PITCH_ARSENAL_CURRENT_SEASON,2026-08-28T17:22:48+00:00,SAVANT_ARSENAL_SCHEMA_V1,CURRENT
690953,"Abel, Mick",2026,14,4,28.6,10.8,14.3,49.6,0.371,0.393,0.446,30.0,5.3,75.9787175,,,,SL,Slider,13.4,48,26.7,0.357,0.429,0.346,0.1,BASEBALL_SAVANT_PITCH_ARSENAL_CURRENT_SEASON,2026-08-28T17:22:48+00:00,SAVANT_ARSENAL_SCHEMA_V1,CURRENT
690953,"Abel, Mick",2026,13,4,30.8,10.8,19.0,49.6,0.213,0.128,0.155,0.0,5.3,75.9787175,,,,CU,Curveball,12.0,43,16.0,0.182,0.182,0.246,-0.6,BASEBALL_SAVANT_PITCH_ARSENAL_CURRENT_SEASON,2026-08-28T17:22:48+00:00,SAVANT_ARSENAL_SCHEMA_V1,CURRENT
690953,"Abel, Mick",2026,9,1,11.1,10.8,29.4,49.6,0.247,0.17,0.272,14.3,5.3,75.9787175,,,,ST,Sweeper,10.6,38,5.9,0.125,0.125,0.178,0.6,BASEBALL_SAVANT_PITCH_ARSENAL_CURRENT_SEASON,2026-08-28T17:22:48+00:00,SAVANT_ARSENAL_SCHEMA_V1,CURRENT
690953,"Abel, Mick",2026,3,0,0.0,10.8,33.3,49.6,0.584,0.482,0.747,100.0,5.3,75.9787175,,,,SI,Sinker,3.4,12,,0.5,0.5,0.533,-3.9,BASEBALL_SAVANT_PITCH_ARSENAL_CURRENT_SEASON,2026-08-28T17:22:48+00:00,SAVANT_ARSENAL_SCHEMA_V1,CURRENT
691769,"Abner, Philip",2026,37,3,8.1,12.5,15.2,47.3,0.448,0.365,0.618,43.3,12.0,79.1849144,,,,FF,4-Seam Fastball,55.5,136,10.3,0.303,0.394,0.347,-0.4,BASEBALL_SAVANT_PITCH_ARSENAL_CURRENT_SEASON,2026-08-28T17:22:48+00:00,SAVANT_ARSENAL_SCHEMA_V1,CURRENT
