player_id,player_name,season,PA,SO,K%,BB%,Whiff%,Swing%,xwOBA,xBA,xSLG,Hard-Hit%,Barrel%,average_swing_speed,fast_swing_rate,swords,squared_up_contact,wOBA,source,source_timestamp,schema_version,refresh_status
671096,"Abbott, Andrew",2026,630,114,18.1,10.8,22.7,46.4,0.332,0.258,0.419,38.0,7.8,79.373030561,,,,0.318,BASEBALL_SAVANT_CURRENT_SEASON,2026-08-26T14:20:46+00:00,SAVANT_PITCHER_SCHEMA_V1,CURRENT
690953,"Abel, Mick",2026,93,23,24.7,10.8,28.8,49.6,0.349,0.273,0.413,40.4,5.3,75.9787175,,,,0.329,BASEBALL_SAVANT_CURRENT_SEASON,2026-08-26T14:20:46+00:00,SAVANT_PITCHER_SCHEMA_V1,CURRENT
691769,"Abner, Philip",2026,64,6,9.4,12.5,18.1,47.3,0.401,0.305,0.539,40.0,12.0,79.1849144,,,,0.336,BASEBALL_SAVANT_CURRENT_SEASON,2026-08-26T14:20:46+00:00,SAVANT_PITCHER_SCHEMA_V1,CURRENT
650556,"Abreu, Bryan",2026,217,63,29.0,16.6,33.9,41.6,0.317,0.2,0.336,39.5,6.2,81.147929091,,,,0.334,BASEBALL_SAVANT_CURRENT_SEASON,2026-08-26T14:20:46+00:00,SAVANT_PITCHER_SCHEMA_V1,CURRENT
670183,"Acton, Garrett",2026,28,9,32.1,10.7,35.4,41.7,0.25,0.19,0.267,40.0,6.7,89.4715375,,,,0.238,BASEBALL_SAVANT_CURRENT_SEASON,2026-08-26T14:20:46+00:00,SAVANT_PITCHER_SCHEMA_V1,CURRENT
592094,"Adam, Jason",2026,134,22,16.4,6.0,28.6,53.4,0.288,0.224,0.371,36.3,6.9,77.312867451,,,,0.309,BASEBALL_SAVANT_CURRENT_SEASON,2026-08-26T14:20:46+00:00,SAVANT_PITCHER_SCHEMA_V1,CURRENT
687060,"Adams, Blake",2026,9,0,0.0,22.2,17.6,45.9,0.698,0.535,1.109,57.1,28.6,84.48505,,,,0.82,BASEBALL_SAVANT_CURRENT_SEASON,2026-08-26T14:20:46+00:00,SAVANT_PITCHER_SCHEMA_V1,CURRENT
701519,"Adams, Travis",2026,185,48,25.9,10.8,27.3,47.7,0.324,0.236,0.418,31.6,8.6,75.829652857,,,,0.349,BASEBALL_SAVANT_CURRENT_SEASON,2026-08-26T14:20:46+00:00,SAVANT_PITCHER_SCHEMA_V1,CURRENT
688642,"Agnos, Zach",2026,328,49,14.9,7.9,21.3,50.7,0.351,0.283,0.456,41.9,7.7,77.549473984,,,,0.348,BASEBALL_SAVANT_CURRENT_SEASON,2026-08-26T14:20:46+00:00,SAVANT_PITCHER_SCHEMA_V1,CURRENT
695239,"Ahlstrom, Robby",2026,128,28,21.9,7.0,28.3,49.6,0.302,0.251,0.38,31.8,5.7,74.321643636,,,,0.308,BASEBALL_SAVANT_CURRENT_SEASON,2026-08-26T14:20:46+00:00,SAVANT_PITCHER_SCHEMA_V1,CURRENT
669211,"Akin, Keegan",2026,114,17,14.9,7.9,19.3,49.2,0.298,0.246,0.371,28.4,5.8,73.826650238,,,,0.337,BASEBALL_SAVANT_CURRENT_SEASON,2026-08-26T14:20:46+00:00,SAVANT_PITCHER_SCHEMA_V1,CURRENT
645261,"Alcantara, Sandy",2026,757,137,18.1,6.5,21.2,50.7,0.296,0.248,0.366,35.1,5.3,77.468598087,,,,0.292,BASEBALL_SAVANT_CURRENT_SEASON,2026-08-26T14:20:46+00:00,SAVANT_PITCHER_SCHEMA_V1,CURRENT
691951,"Aldegheri, Sam",2026,151,22,14.6,11.3,20.4,45.7,0.355,0.271,0.45,35.1,9.0,74.746252182,,,,0.319,BASEBALL_SAVANT_CURRENT_SEASON,2026-08-26T14:20:46+00:00,SAVANT_PITCHER_SCHEMA_V1,CURRENT
680916,"Aleman, Franco",2026,82,22,26.8,9.8,27.3,44.9,0.277,0.203,0.305,40.0,4.0,78.4462732,,,,0.329,BASEBALL_SAVANT_CURRENT_SEASON,2026-08-26T14:20:46+00:00,SAVANT_PITCHER_SCHEMA_V1,CURRENT
669920,"Alexander, Jason",2026,84,14,16.7,9.5,20.3,44.5,0.332,0.257,0.415,37.7,10.0,75.822892333,,,,0.391,BASEBALL_SAVANT_CURRENT_SEASON,2026-08-26T14:20:46+00:00,SAVANT_PITCHER_SCHEMA_V1,CURRENT
641302,"Alexander, Tyler",2026,247,51,20.6,7.3,22.1,46.4,0.284,0.235,0.331,34.9,4.6,75.395492791,,,,0.307,BASEBALL_SAVANT_CURRENT_SEASON,2026-08-26T14:20:46+00:00,SAVANT_PITCHER_SCHEMA_V1,CURRENT
663465,"Allard, Kolby",2026,45,9,20.0,6.7,17.4,52.0,0.385,0.317,0.533,43.8,15.6,77.955251875,,,,0.467,BASEBALL_SAVANT_CURRENT_SEASON,2026-08-26T14:20:46+00:00,SAVANT_PITCHER_SCHEMA_V1,CURRENT
671106,"Allen, Logan",2026,58,13,22.4,6.9,20.0,46.4,0.314,0.219,0.422,46.2,13.2,79.012511579,,,,0.354,BASEBALL_SAVANT_CURRENT_SEASON,2026-08-26T14:20:46+00:00,SAVANT_PITCHER_SCHEMA_V1,CURRENT
665660,"Alvarado, Elvis",2026,173,52,30.1,11.0,32.3,52.2,0.326,0.202,0.431,49.0,16.0,79.730354,,,,0.317,BASEBALL_SAVANT_CURRENT_SEASON,2026-08-26T14:20:46+00:00,SAVANT_PITCHER_SCHEMA_V1,CURRENT
621237,"Alvarado, José",2026,218,59,27.1,10.1,29.4,46.1,0.304,0.224,0.345,27.9,5.5,76.061570645,,,,0.35,BASEBALL_SAVANT_CURRENT_SEASON,2026-08-26T14:20:46+00:00,SAVANT_PITCHER_SCHEMA_V1,CURRENT
674841,"Alvarez, Andrew",2026,359,80,22.3,10.6,26.2,44.4,0.328,0.259,0.394,42.4,5.9,78.160065763,,,,0.308,BASEBALL_SAVANT_CURRENT_SEASON,2026-08-26T14:20:46+00:00,SAVANT_PITCHER_SCHEMA_V1,CURRENT
623454,"Anderson, Drew",2026,349,91,26.1,8.9,28.2,48.7,0.298,0.221,0.369,38.6,8.6,80.570913945,,,,0.321,BASEBALL_SAVANT_CURRENT_SEASON,2026-08-26T14:20:46+00:00,SAVANT_PITCHER_SCHEMA_V1,CURRENT
681982,"Anderson, Grant",2026,205,46,22.4,10.2,25.8,48.7,0.278,0.208,0.334,37.2,7.3,78.547271176,,,,0.3,BASEBALL_SAVANT_CURRENT_SEASON,2026-08-26T14:20:46+00:00,SAVANT_PITCHER_SCHEMA_V1,CURRENT
681252,"Anderson, Jack",2026,48,12,25.0,6.3,30.5,52.8,0.301,0.23,0.418,36.4,9.1,75.53509625,,,,0.269,BASEBALL_SAVANT_CURRENT_SEASON,2026-08-26T14:20:46+00:00,SAVANT_PITCHER_SCHEMA_V1,CURRENT
807739,"Anderson, Kade",2026,22,5,22.7,9.1,26.2,51.9,0.261,0.168,0.373,33.3,13.3,77.4747625,,,,0.388,BASEBALL_SAVANT_CURRENT_SEASON,2026-08-26T14:20:46+00:00,SAVANT_PITCHER_SCHEMA_V1,CURRENT
641312,"Anderson, Shaun",2026,93,17,18.3,10.8,26.6,45.0,0.391,0.303,0.515,38.5,9.2,77.226670625,,,,0.38,BASEBALL_SAVANT_CURRENT_SEASON,2026-08-26T14:20:46+00:00,SAVANT_PITCHER_SCHEMA_V1,CURRENT
681084,"Andrews, Tanner",2026,11,1,9.1,18.2,22.2,41.9,0.273,0.135,0.289,25.0,12.5,67.064095,,,,0.208,BASEBALL_SAVANT_CURRENT_SEASON,2026-08-26T14:20:46+00:00,SAVANT_PITCHER_SCHEMA_V1,CURRENT
622088,"Antone, Tejay",2026,187,41,21.9,7.5,27.0,47.2,0.297,0.224,0.373,34.9,8.3,77.430130862,,,,0.29,BASEBALL_SAVANT_CURRENT_SEASON,2026-08-26T14:20:46+00:00,SAVANT_PITCHER_SCHEMA_V1,CURRENT
542888,"Armstrong, Shawn",2026,146,33,22.6,13.0,24.1,48.6,0.308,0.209,0.362,34.8,6.5,78.886426,,,,0.324,BASEBALL_SAVANT_CURRENT_SEASON,2026-08-26T14:20:46+00:00,SAVANT_PITCHER_SCHEMA_V1,CURRENT
681293,"Arrighetti, Spencer",2026,401,91,22.7,13.0,25.6,42.0,0.345,0.238,0.396,31.1,8.2,77.123950248,,,,0.322,BASEBALL_SAVANT_CURRENT_SEASON,2026-08-26T14:20:46+00:00,SAVANT_PITCHER_SCHEMA_V1,CURRENT
676879,"Ashby, Aaron",2026,322,102,31.7,11.2,31.9,40.8,0.264,0.199,0.282,39.6,4.4,75.792321209,,,,0.293,BASEBALL_SAVANT_CURRENT_SEASON,2026-08-26T14:20:46+00:00,SAVANT_PITCHER_SCHEMA_V1,CURRENT
677952,"Ashcraft, Braxton",2026,623,161,25.8,5.5,25.6,52.4,0.287,0.23,0.369,41.6,6.4,79.362465311,,,,0.29,BASEBALL_SAVANT_CURRENT_SEASON,2026-08-26T14:20:46+00:00,SAVANT_PITCHER_SCHEMA_V1,CURRENT
668933,"Ashcraft, Graham",2026,109,32,29.4,14.7,32.4,45.3,0.286,0.197,0.307,36.1,7.3,79.172392143,,,,0.279,BASEBALL_SAVANT_CURRENT_SEASON,2026-08-26T14:20:46+00:00,SAVANT_PITCHER_SCHEMA_V1,CURRENT
665871,"Assad, Javier",2026,332,55,16.6,6.3,14.9,44.3,0.326,0.264,0.431,45.5,7.1,80.12860856,,,,0.302,BASEBALL_SAVANT_CURRENT_SEASON,2026-08-26T14:20:46+00:00,SAVANT_PITCHER_SCHEMA_V1,CURRENT
679883,"Avila, Luinder",2026,309,61,19.7,13.6,23.9,42.4,0.339,0.251,0.396,35.3,5.9,76.9869519,,,,0.355,BASEBALL_SAVANT_CURRENT_SEASON,2026-08-26T14:20:46+00:00,SAVANT_PITCHER_SCHEMA_V1,CURRENT
669199,"Bachar, Lake",2026,296,74,25.0,10.1,29.5,45.7,0.298,0.206,0.368,35.3,9.1,78.783596304,,,,0.291,BASEBALL_SAVANT_CURRENT_SEASON,2026-08-26T14:20:46+00:00,SAVANT_PITCHER_SCHEMA_V1,CURRENT
696147,"Bachman, Sam",2026,198,46,23.2,13.6,33.1,44.0,0.299,0.213,0.319,32.0,7.5,74.364553667,,,,0.305,BASEBALL_SAVANT_CURRENT_SEASON,2026-08-26T14:20:46+00:00,SAVANT_PITCHER_SCHEMA_V1,CURRENT
679775,"Backhus, Kyle",2026,94,20,21.3,6.4,19.6,43.2,0.308,0.247,0.385,30.3,4.6,74.422889063,,,,0.349,BASEBALL_SAVANT_CURRENT_SEASON,2026-08-26T14:20:46+00:00,SAVANT_PITCHER_SCHEMA_V1,CURRENT
